snapped_at,market_cap,total_volume
1599782400000,343483694674.4918,209727120506.1681
1599868800000,345340331344.766,57010014156.68166
1599955200000,350785689218.1606,55644422261.58154
1600041600000,343794530959.50684,58527036349.22639
1600128000000,353123186373.8738,63436498131.27825
1600214400000,346375148088.19684,62335536934.84
1600300800000,353518180144.8017,62674842738.621414
1600387200000,357474873776.2642,66620688894.5501
1600473600000,356204090590.80664,65698562737.73588
1600560000000,360205018534.12885,51480546233.72517
1600646400000,354054801795.5625,62468760435.11289
1600732800000,333791869675.77356,66028416878.3244
1600819200000,337505151291.74274,51818083106.67319
1600905600000,325130057082.85297,50632627479.024155
1600992000000,343611287022.91034,54215913636.60511
1601078400000,345454138559.49194,50530868185.9877
1601164800000,347843559729.56433,44760786240.10712
1601251200000,352531918719.79333,46735441020.20323
1601337600000,346605618508.0148,50415903846.554955
1601424000000,351784520841.98016,47867094351.41124
1601510400000,350327310865.8174,45939927778.82509
1601596800000,344384694899.25476,51885537571.34889
1601683200000,340673194221.4003,53098581135.09603
1601769600000,341363825241.3037,39184717154.00519
1601856000000,346959253454.7213,40339059998.421
1601942400000,348364728487.61725,42968336433.92222
1602028800000,339548275730.42957,50037623462.54762
1602115200000,341811410597.9469,44355846654.006035
1602201600000,349366880798.69727,49209148744.743034
1602288000000,356779146784.7058,50260078567.55671
1602374400000,362507996535.55505,48595852584.429115
1602460800000,365717121457.06323,41914090765.231636
1602547200000,371647842610.4844,52218609910.19311
1602633600000,368415389534.0048,48075441455.94314
1602720000000,367309660330.0558,48949097583.41578
1602806400000,368148720145.0765,47712573117.96339
1602892800000,360092286458.2571,47698304978.66991
1602979200000,361390042050.30206,36752997555.823616
1603065600000,366125936882.1013,36913214522.87931
1603152000000,369352262537.3274,40038990943.19554
1603238400000,369212454867.8768,45374883359.829605
1603324800000,391801506181.7642,61759642956.1365
1603411200000,400162608814.1501,56587639893.13455
1603497600000,399009171372.7428,50026420176.523094
1603584000000,404362028633.93756,43849654626.01419
1603670400000,401309162736.4485,43610120156.13875
1603756800000,399030735371.57153,61505095286.990265
1603843200000,412286503522.72125,52858240035.189644
1603929600000,400501298801.26874,59748546420.95127
1604016000000,401871415538.12787,51874640355.81371
1604102400000,401395407709.19855,54501852598.57517
1604188800000,407131921456.37506,47476841109.86865
1604275200000,407964200461.771,41592894961.046486
1604361600000,400751103287.14453,50933287254.61615
1604448000000,408787160118.313,49019463724.53312
1604534400000,412006741011.21564,54099977817.8999
1604620800000,444975189442.8134,70367240599.11188
1604707200000,454340995891.5895,74829998097.03717
1604793600000,434853083835.1736,73069497688.0519
1604880000000,453519851705.9638,53087749732.897156
1604966400000,448212460208.8985,62365384156.4711
1605052800000,449539088083.19604,52588662152.017296
1605139200000,458369361081.3454,56022878295.27596
1605225600000,469084927204.8241,58720757809.14897
1605312000000,474256191949.34015,54327109325.94395
1605398400000,468566625725.27466,49096591205.45824
1605484800000,463431154577.399,43603703728.56303
1605571200000,482082936266.7246,62898729323.34291
1605657600000,506428771336.55066,67173831429.0271
1605744000000,507287374903.56244,81167018031.05211
1605830400000,507189839427.29663,65417956429.29676
1605916800000,531833708527.6697,69169974597.60915
1606003200000,549456274759.1266,92032750490.48032
1606089600000,544457637417.7211,96015530270.85243
1606176000000,561973498524.7681,102639924425.52367
1606262400000,585154357151.9281,140580673161.91855
1606348800000,566683220024.0929,114102360957.86078
1606435200000,516607201793.2503,134215229707.56259
1606521600000,518612370919.566,83846181213.06529
1606608000000,538836782403.52155,71508431071.81516
1606694400000,552116517235.3442,67002846140.28179
1606780800000,591551237759.3912,94640790311.76091
1606867200000,567888751870.0055,105562803448.54396
1606953600000,579919052689.3934,76883418993.49501
1607040000000,587471377918.3788,66640038263.72348
1607126400000,560334166233.9192,72203670405.38225
1607212800000,576190305884.3976,60403702857.743256
1607299200000,582088480060.4722,56719499799.20054
1607385600000,577065671166.4567,57003679573.86344
1607472000000,548684260526.5303,65940307125.509514
1607558400000,558667324112.9379,229362848982.5569
1607644800000,548313963446.0031,59572400924.31416
1607731200000,539868778537.5943,67006000305.787315
1607817600000,558449870337.8428,55955324218.509705
1607904000000,570972220075.257,58330701064.36009
